+0.4791+0.0000j +0.6264+0.0000j +0.4404+0.0000j +0.4290+0.0000j 
+0.1993-0.0000j -0.3876-0.1583j -0.1441-0.3762j +0.4914+0.6174j 
+0.5821-0.0000j -0.6187+0.0287j +0.4031+0.1866j -0.1605-0.2335j 
+0.6260-0.0000j +0.2192+0.0237j -0.6660-0.0537j -0.3356+0.0205j 
