# Quantum Classical Visibility
AB 6395 9559 0.3001
AC 1702 1552 -0.1
AD 5997 4097 -0.6094
BC 993 2378 0.5825
BD 1962 1.08e+04 0.8253
CD 2768 1802 -0.6622
