
# Curve 0 of 1, 100 points
# Curve title: "phiplus(x)"
# x y type
 0  57.8753  i
 3.63636  54.2437  i
 7.27273  50.6051  i
 10.9091  46.9595  i
 14.5455  43.3069  i
 18.1818  39.6474  i
 21.8182  35.9811  i
 25.4545  32.3082  i
 29.0909  28.6286  i
 32.7273  24.9427  i
 36.3636  21.2507  i
 40  17.5527  i
 43.6364  13.8489  i
 47.2727  10.1398  i
 50.9091  6.42554  i
 54.5455  2.70645  i
 58.1818 -1.01713  i
 61.8182 -4.74485  i
 65.4545 -8.47634  i
 69.0909 -12.2112  i
 72.7273 -15.9491  i
 76.3636 -19.6895  i
 80 -23.4321  i
 83.6364 -27.1764  i
 87.2727 -30.9221  i
 90.9091 -34.6686  i
 94.5455 -38.4155  i
 98.1818 -42.1623  i
 101.818 -45.9087  i
 105.455 -49.6542  i
 109.091 -53.3983  i
 112.727 -57.1407  i
 116.364 -60.8808  i
 120 -64.6183  i
 123.636 -68.3527  i
 127.273 -72.0837  i
 130.909 -75.8109  i
 134.545 -79.5338  i
 138.182 -83.2523  i
 141.818 -86.9659  i
 145.455 -90.6743  i
 149.091 -94.3773  i
 152.727 -98.0745  i
 156.364 -101.766  i
 160 -105.451  i
 163.636 -109.129  i
 167.273 -112.802  i
 170.909 -116.467  i
 174.545 -120.125  i
 178.182 -123.777  i
 181.818 -127.422  i
 185.455 -131.059  i
 189.091 -134.69  i
 192.727 -138.314  i
 196.364 -141.93  i
 200 -145.54  i
 203.636 -149.143  i
 207.273 -152.74  i
 210.909 -156.33  i
 214.545 -159.913  i
 218.182 -163.491  i
 221.818 -167.063  i
 225.455 -170.629  i
 229.091 -174.19  i
 232.727 -177.746  i
 236.364 -181.297  i
 240 -184.845  i
 243.636 -188.388  i
 247.273 -191.927  i
 250.909 -195.463  i
 254.545 -198.997  i
 258.182 -202.528  i
 261.818 -206.057  i
 265.455 -209.585  i
 269.091 -213.112  i
 272.727 -216.638  i
 276.364 -220.163  i
 280 -223.689  i
 283.636 -227.216  i
 287.273 -230.744  i
 290.909 -234.273  i
 294.545 -237.805  i
 298.182 -241.339  i
 301.818 -244.875  i
 305.455 -248.415  i
 309.091 -251.959  i
 312.727 -255.507  i
 316.364 -259.059  i
 320 -262.615  i
 323.636 -266.177  i
 327.273 -269.744  i
 330.909 -273.317  i
 334.545 -276.895  i
 338.182 -280.48  i
 341.818 -284.07  i
 345.455 -287.668  i
 349.091 -291.272  i
 352.727 -294.883  i
 356.364 -298.5  i
 360 -302.125  i

