A	B	C	D	E	F	G	H	AB	AD	BC	CD	EF	GH	DE	CF	FG	EH	ABCD	CDEF	EFGH	ABCDEFGH
0.00	7110	208806	35444	11861	7110	35444	208806	11861	1	0	17	0	1	8	0	0	17	0	0	0	0	0
4.00	7869	207510	36865	10938	7869	36865	207510	10938	5	0	13	1	0	4	0	0	10	0	0	0	0	0
8.00	8707	206258	38358	9432	8707	38358	206258	9432	2	0	19	1	0	6	0	0	18	0	0	0	0	0
12.00	9896	206217	39595	7968	9896	39595	206217	7968	5	0	20	0	0	7	0	0	20	0	0	0	0	0
16.00	11085	206332	40275	7065	11085	40275	206332	7065	3	1	22	1	0	4	0	0	18	1	0	0	0	0
20.00	12690	205922	40310	6253	12690	40310	205922	6253	7	0	12	0	0	2	0	0	10	0	0	0	0	0
24.00	14364	205076	40152	5437	14364	40152	205076	5437	8	0	22	0	2	2	0	0	18	0	0	0	0	0
28.00	16239	206485	39272	5208	16239	39272	206485	5208	9	0	15	1	1	3	0	0	16	0	0	0	0	0
32.00	17963	204948	37978	5634	17963	37978	204948	5634	10	0	7	0	5	4	0	0	6	0	0	0	0	0
36.00	20103	204391	36275	6066	20103	36275	204391	6066	8	0	15	0	1	3	0	0	13	0	0	0	0	0
40.00	22256	203868	35078	7191	22256	35078	203868	7191	13	0	13	0	0	4	0	0	14	0	0	0	0	0
44.00	24692	202005	33093	8518	24692	33093	202005	8518	11	0	13	0	3	2	0	0	12	0	0	0	0	0
48.00	27042	199748	31008	10023	27042	31008	199748	10023	9	1	11	0	4	5	0	0	12	1	0	0	0	0
52.00	30247	197270	28947	12086	30247	28947	197270	12086	8	0	14	0	2	7	0	0	14	0	0	0	0	0
56.00	32445	194235	27309	14211	32445	27309	194235	14211	17	2	4	0	1	1	1	0	3	1	0	0	0	0
60.00	35678	190809	25249	16271	35678	25249	190809	16271	19	0	12	4	1	8	0	0	11	0	0	0	0	0
64.00	38092	185371	23717	18315	38092	23717	185371	18315	12	0	6	1	4	5	2	0	6	0	0	0	0	0
68.00	40769	181559	22326	20973	40769	22326	181559	20973	22	3	5	1	3	9	3	0	5	3	0	0	0	0
72.00	44738	176661	21438	22818	44738	21438	176661	22818	14	4	14	1	1	9	8	0	14	4	0	0	0	0
76.00	48047	173200	20664	24924	48047	20664	173200	24924	20	1	7	1	0	18	3	0	8	1	0	0	0	0
80.00	50326	169451	20120	26126	50326	20120	169451	26126	17	5	4	1	0	11	4	0	4	4	0	0	0	0
84.00	53100	164665	20173	27007	53100	20173	164664	27007	19	1	8	3	0	7	3	0	8	2	0	0	0	0
88.00	55522	160394	20221	27559	55522	20221	160394	27559	25	3	8	2	0	6	3	0	9	2	0	0	0	0
92.00	58190	158143	20633	27942	58190	20633	158143	27942	17	2	5	2	1	8	3	0	5	2	0	0	0	0
96.00	60440	154042	20974	27606	60440	20974	154042	27606	16	6	5	3	0	5	5	0	5	6	0	0	0	0
100.00	61999	151863	21639	26748	61999	21639	151863	26748	6	2	3	0	3	4	1	0	2	2	0	0	0	0
