A	B	C	D	E	F	G	H	AB	AD	BC	CD	EF	GH	DE	CF	FG	EH	ABCD	CDEF	EFGH	ABCDEFGH
0.00	129157	111856	20227	6851	129157	20227	111856	6851	24	2	6	0	5	2	1	0	5	1	0	0	0	0
4.00	129483	110884	21291	6029	129483	21291	110884	6029	38	2	4	0	5	2	1	0	4	2	0	0	0	0
8.00	130734	110066	22692	4748	130734	22692	110066	4748	35	0	7	0	10	1	2	0	7	0	0	0	0	0
12.00	131348	108262	23814	3427	131348	23814	108262	3427	24	0	5	0	4	2	0	0	5	0	0	0	0	0
16.00	134423	106588	24527	2756	134423	24527	106588	2756	34	1	2	0	5	0	2	0	2	1	0	0	0	0
20.00	136238	105117	24557	2208	136238	24557	105117	2208	34	1	4	0	6	2	0	0	5	1	0	0	0	0
24.00	139292	102722	24254	1973	139292	24254	102722	1973	35	0	6	0	11	1	0	0	5	0	0	0	0	0
28.00	143158	100148	23747	2153	143158	23747	100148	2153	23	0	10	0	9	0	0	0	10	0	0	0	0	0
32.00	145083	98714	22501	2778	145083	22501	98714	2778	35	1	5	1	7	1	1	0	5	1	0	0	0	0
36.00	149798	94222	21034	3850	149798	21034	94222	3850	25	1	6	0	8	0	1	0	6	1	0	0	0	0
40.00	154796	91263	19496	5273	154796	19496	91263	5273	36	2	1	0	9	0	1	0	2	1	0	0	0	0
44.00	156999	87427	17417	7101	156999	17417	87427	7101	35	0	4	1	10	2	2	0	4	2	0	0	0	0
48.00	162287	83338	15125	8880	162287	15125	83338	8880	33	5	3	1	4	1	3	0	2	3	0	0	0	0
52.00	166431	78078	13276	11014	166431	13276	78078	11014	34	3	2	0	5	0	3	0	2	3	0	0	0	0
56.00	171234	72877	11135	13421	171234	11135	72877	13421	21	6	1	0	5	2	4	0	3	5	0	0	0	0
60.00	176175	66495	9328	15708	176175	9328	66495	15708	29	4	3	0	1	0	7	0	1	6	0	0	0	0
64.00	180574	61519	7391	18002	180574	7391	61519	18002	18	7	0	0	3	5	4	0	0	8	0	0	0	0
68.00	185090	54432	5766	20320	185090	5766	54432	20320	22	6	2	0	3	4	10	0	2	5	0	0	0	0
72.00	189766	48056	4505	22182	189766	4505	48056	22182	18	12	0	0	2	4	11	0	0	15	0	0	0	0
76.00	195676	43254	3258	24079	195676	3258	43254	24079	19	7	0	0	1	5	14	0	0	7	0	0	0	0
80.00	200732	36275	2546	25215	200732	2546	36275	25215	15	10	1	0	1	3	16	0	1	12	0	0	0	0
84.00	204932	32051	1987	26597	204932	1987	32051	26597	13	6	0	0	0	2	13	0	0	7	0	0	0	0
88.00	211246	25529	1947	26871	211246	1947	25529	26871	9	12	0	2	0	1	10	0	0	12	0	0	0	0
92.00	216496	17620	1980	27103	216496	1980	17620	27103	4	12	0	0	0	0	22	0	0	10	0	0	0	0
96.00	219932	13670	2331	26538	219932	2331	13670	26538	8	10	0	0	3	0	12	0	0	9	0	0	0	0
100.00	224101	9566	2902	26174	224101	2902	9566	26174	4	9	0	1	3	3	7	0	0	12	0	0	0	0
104.00	228556	6120	3518	25074	228556	3518	6120	25074	6	8	0	0	0	0	10	0	0	9	0	0	0	0
108.00	230370	3950	4526	23423	230370	4526	3950	23423	1	11	0	0	1	0	11	0	0	9	0	0	0	0
112.00	232919	2775	5295	21815	232919	5295	2775	21815	3	7	0	0	1	0	16	0	0	8	0	0	0	0
116.00	232536	3035	5812	20144	232536	5812	3035	20144	1	17	0	0	0	0	10	0	0	22	0	0	0	0
120.00	232893	4471	7171	18036	232893	7171	4471	18036	2	9	0	0	4	0	7	0	0	10	0	0	0	0
124.00	230017	7761	7978	16175	230017	7978	7761	16175	2	11	0	0	4	0	9	0	0	8	0	0	0	0
128.00	226911	11817	9178	14642	226911	9178	11817	14642	5	1	0	0	2	0	3	0	0	1	0	0	0	0
132.00	223148	16581	10287	12821	223148	10287	16581	12821	6	3	1	0	4	0	3	0	1	5	0	0	0	0
136.00	217436	24135	11150	11165	217436	11150	24135	11165	17	1	0	1	5	0	3	0	0	1	0	0	0	0
140.00	211456	30490	12143	9645	211456	12143	30490	9645	8	5	0	0	6	0	2	0	0	5	0	0	0	0
144.00	204155	39529	13010	8588	204155	13010	39529	8588	19	2	0	2	3	0	2	0	0	3	0	0	0	0
148.00	192595	47478	14115	7085	192595	14115	47478	7085	14	1	1	0	7	0	5	0	1	1	0	0	0	0
152.00	177445	56553	14792	6376	177445	14792	56553	6376	34	2	8	0	2	0	0	0	7	2	0	0	0	0
156.00	173462	68652	15591	6064	173462	15591	68652	6064	19	2	2	0	2	1	2	0	2	2	0	0	0	0
160.00	167411	77312	17125	5332	167411	17125	77312	5332	25	1	4	0	6	1	2	0	2	0	0	0	0	0
164.00	158894	86052	17802	5046	158894	17802	86052	5046	39	2	1	1	7	1	3	0	1	2	0	0	0	0
168.00	151938	93509	19225	4600	151938	19225	93509	4600	20	4	5	0	9	2	0	0	4	4	0	0	0	0
172.00	143069	100417	19974	4436	143069	19974	100417	4436	22	0	4	0	4	1	1	0	2	1	0	0	0	0
176.00	137797	106152	21168	4158	137797	21168	106152	4158	34	0	4	0	3	0	1	0	4	0	0	0	0	0
180.00	133668	109856	22104	3992	133668	22104	109856	3992	28	2	4	0	7	2	2	0	3	1	0	0	0	0
