-0.3193+0.0000j +0.0000+0.5006j +0.6483+0.0000j -0.0000-0.4767j 
+0.0000+0.5006j +0.6319+0.0000j +0.0000+0.4767j +0.3506+0.0000j 
+0.6483+0.0000j +0.0000+0.4767j +0.3193+0.0000j -0.0000+0.5006j 
-0.0000-0.4767j +0.3506+0.0000j -0.0000+0.5006j -0.6319+0.0000j 
