-0.3123+0.0000j +0.0000+0.4712j +0.6805+0.0000j -0.0000-0.4662j 
+0.0000+0.4712j +0.6772+0.0000j +0.0000+0.4662j +0.3194+0.0000j 
+0.6805+0.0000j +0.0000+0.4662j +0.3123+0.0000j -0.0000+0.4712j 
-0.0000-0.4662j +0.3194+0.0000j -0.0000+0.4712j -0.6772+0.0000j 
