A	B	C	D	E	F	G	H	AB	AD	BC	CD	EF	GH	DE	CF	FG	EH	ABCD	CDEF	EFGH	ABCDEFGH
0.00	40246	211375	22971	21757	40246	22971	211375	21757	91	23	47	21	23	78	11	26	93	20	0	0	0	0
4.00	40506	210727	24107	21050	40506	24107	210727	21050	16	1	12	1	4	12	1	0	13	1	0	0	0	0
8.00	41552	208703	25287	20304	41552	25287	208703	20304	15	1	13	2	3	8	1	0	14	1	0	0	0	0
12.00	43006	207522	26581	19218	43006	26581	207522	19218	21	1	8	0	3	8	3	0	9	1	0	0	0	0
16.00	45332	205066	27168	17950	45332	27168	205066	17950	19	0	10	1	4	10	0	0	10	1	0	0	0	0
20.00	47618	203535	27849	17369	47618	27849	203535	17369	13	1	16	0	3	9	0	0	14	1	0	0	0	0
24.00	50647	202514	27919	16475	50647	27919	202514	16475	30	2	16	2	7	7	0	0	10	2	0	0	0	0
28.00	53880	199884	27793	16251	53880	27793	199884	16251	22	3	7	2	2	5	2	0	9	4	0	0	0	0
32.00	56158	197209	27209	16022	56158	27209	197209	16022	21	1	10	1	6	11	1	0	10	1	0	0	0	0
36.00	59551	194233	26585	15977	59551	26585	194233	15977	24	4	16	0	2	11	3	0	14	4	0	0	0	0
40.00	63193	191675	25676	16348	63193	25676	191675	16348	22	0	5	0	2	9	2	0	3	0	0	0	0	0
44.00	67189	187048	24665	17227	67189	24665	187048	17227	23	1	6	2	6	6	4	0	7	0	0	0	0	0
48.00	71054	183271	23266	18530	71054	23266	183271	18530	32	4	4	0	6	4	2	0	2	4	0	0	0	0
52.00	75485	177967	21945	19717	75485	21945	177967	19717	32	4	9	2	2	4	6	0	7	4	0	0	0	0
56.00	78716	173210	20537	21834	78716	20537	173210	21834	22	1	8	0	5	9	5	0	7	1	0	0	0	0
60.00	83359	166723	19248	23671	83359	19248	166723	23671	28	7	5	2	4	6	3	0	4	6	0	0	0	0
64.00	88857	160349	17982	25256	88857	17982	160349	25256	31	3	7	0	5	13	4	0	7	4	0	0	0	0
68.00	94446	152968	17093	26782	94446	17093	152968	26782	34	3	6	2	5	8	2	0	6	3	0	0	0	0
72.00	98182	146054	16042	28816	98182	16042	146054	28816	27	8	4	2	3	6	5	0	4	7	0	0	0	0
76.00	104845	140513	15169	30577	104845	15169	140513	30577	22	10	7	0	6	12	4	0	5	11	0	0	0	0
80.00	109645	134465	14493	31991	109645	14493	134465	31991	31	10	4	0	2	8	10	0	4	11	0	0	0	0
84.00	113491	127950	13659	33009	113491	13659	127950	33009	25	8	5	0	3	9	7	0	5	7	0	0	0	0
88.00	118180	121467	13813	33601	118180	13813	121467	33601	39	8	5	1	5	13	4	0	5	7	0	0	0	0
92.00	122748	117071	13263	34220	122748	13263	117071	34220	29	11	3	2	2	6	11	0	3	13	0	0	0	0
96.00	125101	112788	13607	34379	125101	13607	112788	34379	19	8	0	2	4	6	14	0	0	10	0	0	0	0
100.00	129028	109191	13472	33590	129028	13472	109191	33590	29	3	6	1	3	6	4	0	6	3	0	0	0	0
104.00	132271	107911	13918	32804	132271	13918	107911	32804	34	9	3	0	6	3	12	0	4	7	0	0	0	0
108.00	132573	106405	14180	31811	132573	14180	106405	31811	28	7	1	1	4	7	13	0	1	8	0	0	0	0
112.00	134261	107012	14903	30200	134261	14903	107012	30200	24	11	1	1	3	10	12	0	1	10	0	0	0	0
116.00	134484	109220	15276	28456	134484	15276	109220	28456	22	9	1	0	1	7	6	0	1	9	0	0	0	0
120.00	133088	110835	15671	26695	133088	15671	110835	26695	32	10	5	1	5	4	10	0	5	9	0	0	0	0
124.00	131542	115780	16358	24929	131542	16358	115780	24929	27	4	0	2	4	5	4	0	1	4	0	0	0	0
128.00	127051	119593	16759	23509	127051	16759	119593	23509	24	7	1	2	8	8	2	0	1	8	0	0	0	0
132.00	122931	126823	17090	22388	122931	17090	126823	22388	22	8	4	2	2	6	6	0	3	8	0	0	0	0
136.00	116940	133543	17749	20664	116940	17749	133543	20664	30	2	3	1	5	4	1	0	3	4	0	0	0	0
140.00	109859	142047	18378	20026	109859	18378	142047	20026	31	3	7	1	7	10	7	0	5	2	0	0	0	0
144.00	104116	149196	18873	18910	104116	18873	149196	18910	32	8	9	1	5	2	5	0	8	10	0	0	0	0
148.00	94713	157526	19392	18040	94713	19392	157526	18040	30	4	8	0	2	5	4	0	9	5	0	0	0	0
152.00	82228	161180	19949	17608	82228	19949	161180	17608	16	4	9	1	3	6	3	0	10	4	0	0	0	0
156.00	76713	174072	20248	17808	76713	20248	174072	17808	30	3	6	0	2	7	3	0	6	3	0	0	0	0
160.00	69525	185052	20709	18290	69525	20709	185052	18290	31	3	11	1	3	4	2	0	9	3	0	0	0	0
164.00	61053	193144	21453	18201	61053	21453	193144	18201	25	2	17	1	4	6	1	0	17	4	0	0	0	0
168.00	53516	200326	21992	18959	53516	21992	200326	18959	21	3	7	0	0	13	5	0	7	2	0	0	0	0
172.00	48646	204905	22825	19067	48646	22825	204905	19067	23	1	11	1	3	11	2	0	12	2	0	0	0	0
176.00	43967	208159	23348	19124	43967	23348	208159	19124	24	2	11	3	1	10	0	0	10	2	0	0	0	0
180.00	40422	210672	24118	19305	40422	24118	210672	19305	18	1	6	0	5	8	1	0	8	0	0	0	0	0
184.00	38723	210156	25042	19283	38723	25042	210156	19283	25	1	10	1	1	7	1	0	10	0	0	0	0	0
188.00	39127	209118	25939	19068	39127	25939	209118	19068	17	3	13	1	4	5	0	0	12	3	0	0	0	0
192.00	40527	206531	26925	18488	40527	26925	206531	18488	21	0	13	0	3	8	1	0	12	0	0	0	0	0
196.00	45335	200519	27261	18044	45335	27261	200519	18044	19	0	9	0	3	7	3	0	9	0	0	0	0	0
200.00	51161	193652	27952	17317	51161	27952	193652	17317	18	1	12	4	2	7	2	0	11	1	0	0	0	0
204.00	57290	187522	28892	16568	57290	28892	187522	16568	19	3	9	4	3	7	4	0	10	3	0	0	0	0
208.00	66137	178961	29018	16007	66137	29018	178961	16007	32	4	6	2	4	7	4	0	5	3	0	0	0	0
212.00	74815	168845	29441	15202	74815	29441	168845	15202	24	1	4	0	4	8	1	0	4	1	0	0	0	0
216.00	84895	161369	29734	14593	84895	29734	161369	14593	27	1	11	1	3	2	1	0	12	1	0	0	0	0
220.00	95223	151505	29843	13938	95223	29843	151505	13938	24	4	11	1	10	2	2	0	10	4	0	0	0	0
224.00	103684	142610	29802	13621	103684	29802	142610	13621	31	4	7	0	6	1	6	0	6	3	0	0	0	0
228.00	111961	133903	29287	13550	111961	29287	133903	13550	30	5	7	0	5	7	2	0	7	5	0	0	0	0
232.00	118492	125266	28545	14033	118492	28545	125266	14033	30	3	13	0	6	5	7	0	13	5	0	0	0	0
236.00	124454	116660	28208	14247	124454	28208	116660	14247	33	2	9	0	6	4	2	0	12	3	0	0	0	0
240.00	129869	114169	27483	15400	129869	27483	114169	15400	31	4	7	2	8	2	4	0	6	5	0	0	0	0
244.00	134495	111591	26414	16755	134495	26414	111591	16755	38	4	8	1	8	3	3	0	8	5	0	0	0	0
248.00	135760	109564	25400	18236	135760	25400	109564	18236	33	2	7	1	6	5	3	0	7	2	0	0	0	0
252.00	136189	108404	24163	19901	136189	24163	108404	19901	30	5	7	2	10	2	2	0	7	5	0	0	0	0
256.00	134482	108457	22980	21801	134482	22980	108457	21801	31	3	5	0	11	3	3	0	4	2	0	0	0	0
260.00	133292	110347	21800	23084	133292	21800	110347	23084	32	7	9	1	6	4	8	0	9	7	0	0	0	0
264.00	129768	112231	20530	24935	129768	20530	112231	24935	21	11	2	1	9	6	9	0	3	9	0	0	0	0
268.00	125664	117206	19143	26498	125664	19143	117206	26498	23	7	5	0	6	9	11	0	4	8	0	0	0	0
272.00	119761	122104	17901	27596	119760	17901	122104	27596	45	10	4	1	6	10	10	0	4	9	0	0	0	0
276.00	114990	128539	16982	28402	114990	16982	128539	28402	33	5	6	1	4	13	5	0	6	3	0	0	0	0
280.00	108957	135932	15726	29175	108957	15726	135932	29175	32	6	4	1	7	8	7	0	4	7	0	0	0	0
284.00	101630	145693	14909	29515	101630	14909	145693	29515	45	6	4	3	2	6	6	0	5	5	0	0	0	0
288.00	96509	152907	13526	28934	96509	13526	152907	28934	31	8	6	2	7	7	4	0	6	6	0	0	0	0
292.00	89045	161875	12787	29142	89045	12787	161874	29142	30	3	6	2	3	6	6	0	7	4	0	0	0	0
296.00	82816	169635	12011	28484	82816	12011	169635	28484	34	2	5	1	2	4	3	0	5	3	0	0	0	0
300.00	76946	179457	11638	28047	76946	11638	179457	28047	26	4	6	2	1	14	5	0	6	4	0	0	0	0
