+0.2788+0.0000j +0.6728+0.0000j +0.5470+0.0000j +0.4129-0.0000j 
+0.7565+0.0000j -0.3954+0.0699j +0.3006-0.2466j -0.2647+0.2128j 
+0.5537+0.0000j +0.3826-0.0793j -0.6497+0.2468j -0.1366-0.1976j 
+0.2084+0.0000j -0.4813-0.0429j -0.0967+0.2394j +0.7716-0.2472j 
